"","category","name","reviewer","review","date","ratings"
"30","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","BRIENZA Paola","bon produit tient toute journée très jolie j’adore","Reviewed in France on 13 January 2024","5.0 out of 5 stars"
"31","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Emma Turner","Very happy with it, packaged well","Reviewed in Australia on 1 October 2023","4.3 out of 5 stars"
"32","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Katherine","L'Oreal lipstick is always beautiful to wear and looks great","Reviewed in Australia on 21 December 2022","5.0 out of 5 stars"
"33","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Emma Turner","It’s a good lipstick but it was a different colour to the pic which was a big disappointing.","Reviewed in Australia on 1 October 2023","2.0 out of 5 stars"
"34","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","divagirl","A soft lipstick with an pretty fuschia pink shade. Can be applied over a basic lip balm for a delicate colour. On its own it’s quite intense.","Reviewed in Australia on 12 July 2023","5.0 out of 5 stars"
"35","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Paula","I love the colour. The head of the lipstick has a round so it makes it hard to get the top lip on the cubits-bow nice and neat a brush is best for the location. I did have to reapply after lunch but I didn't mind as the colour is great and I've been looking for a long time and this is it.","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars"
"36","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Aggie","Based on the reviews I really wanted to try this one - #MLBB -  The first one I received was from the Paradise Glow line - same #642, but different name (Beige Eden) and formulation to the Colour Riche Shine Addiction.I requested a replacement which arrived very quickly - within a couple of days. However the replacement sent was exactly the same incorrect item - Paradise Glow #642 Beige Eden.It's probably very nice, but I wanted to try the Colour Riche Shine Addiction #MLBB","Reviewed in Australia on 6 July 2020","4.0 out of 5 stars"
"37","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Becca C","Feels nice but is incredibly sheer - more like the balm. The colour is definitely more pink than the dusty-rose type of colour in the image.","Reviewed in Australia on 4 February 2021","5.0 out of 5 stars"
"38","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","Katherine","Color muy bonito. La uso mucho, queda muy natural pero con un toque muy bonito","Reviewed in Australia on 21 December 2022","4.0 out of 5 stars"
"39","Lipstick","L'Oreal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 642 #MLBB","RaRaRaRaRa","Jolie couleur , tient bien sur moi , agréable à porter .","Reviewed in Australia on 5 May 2023","2.0 out of 5 stars"
