"","category","name","price","ratings","no_of_reviews"
"71","Lipstick","Kiko MILANO - Smart Fusion Lipstick Rich and Nourishing Lipstick With a Bright Finish | Long Lasting Lipstick | 405 Rose | Cruelty Free Makeup | Professional Makeup Lipstick | Made in Italy",NA,"4.4 out of 5 stars","4,155"
"72","Lipstick","Rimmel London Stay Satin Liquid Lip Colour 5.5 ml, 850 Atomic",NA,"4.5 out of 5 stars","1,331"
"73","Lipstick","NYX PROFESSIONAL MAKEUP Liquid Suede Cream Lipstick, Club Hopper, 0.13 Fluid Ounce",NA,"4.1 out of 5 stars","914"
"74","Lipstick","Rimmel London Provocalips 16hr Kiss-Proof Lip Color - Two-Step Liquid Lipstick to Lock in Color and Shine - 750 Heart Breaker, .14 fl.oz.",NA,"4.2 out of 5 stars","1,300"
"75","Lipstick","L'Oréal Paris Colour Riche Matte Lipstick, Velvet Smooth, with Precious Camellia and Jojoba Oils, 636 Mahogany Studs",NA,"3.8 out of 5 stars","84"
"76","Lipstick","Max Factor Colour Elixir Lipstick Rosewood 030 Nourishing Lipstick with a Diamond Intense Colour Results Colour 030 Rosewood",NA,"4.1 out of 5 stars","6,567"
"77","Lipstick","Designer Brands DB Longwear Lipstick Perfect Plum, 15 count Pack of 15",NA,"3.7 out of 5 stars","356"
"78","Lipstick","Bourjois Rouge Fabuleux Lipstick 04 Jolie Mauve",NA,"4.5 out of 5 stars","918"
"79","Lipstick","e.l.f. - SRSLY Satin Lipstick Cherry - 0.12 oz (3.5 g)",NA,"4.0 out of 5 stars","117"
"80","Lipstick","Gireatick 2Pcs Magic Color Change Lipstick Set, Blue Changed into Pink Lip Gloss, Moisturizer Long Lasting Nutritious Lip Balm for Women Girls",NA,"4.3 out of 5 stars","802"
"81","Lipstick","Revlon Super Lustrous Glass Shine Lipstick, Moisturizing Lipstick with Aloe, Pinky Coral, 0.15 Oz","$27.97","4.2 out of 5 stars","774"
"82","Lipstick","Bourjois Lip Dye Rouge Velvet Lipstick 24 Pari'sienne 2.4 g","$28.13","4.2 out of 5 stars","814"
"83","Lipstick","KIKO Milano Ph Glow Lipstick | Ph Glow Lipstick","$28.94","4.1 out of 5 stars","652"
"84","Lipstick","MAC Cremesheen Lipstick - Creme DNude for Women 0.1 oz Lipstick","$17.18","4.6 out of 5 stars","280"
"85","Lipstick","Rimmel London Provocalips 16HR Kiss Proof Lip Colour, 200 I'll Call You","$43.24","4.5 out of 5 stars","7,640"
"86","Lipstick","Revlon Super Lustrous Glass Shine Lipstick, Fire and Ice (5), 4.25 g","$42.22","4.4 out of 5 stars","9,352"
"87","Lipstick","NYX Matte Lipstick 0.16 Ounce Perfect red","$37.95","4.3 out of 5 stars","12,508"
"88","Lipstick","Maybelline New York Lipstick, Super Stay Matte Ink, Liquid, Matte and Long-Lasting, No. 340 Exhilator, 5 ml","$27.74","4.6 out of 5 stars","720"
"89","Lipstick","Kiko MILANO - Smart Fusion Lipstick Rich and Nourishing Lip Stick With a Bright Finish | Long Lasting Lipstick | 422 Red | Cruelty Free Makeup | Professional Makeup Lipstick | Made in Italy","$75.33","4.2 out of 5 stars","129"
"90","Lipstick","L'Or?al Paris Makeup Colour Riche Original Creamy, Hydrating Satin Lipstick, 165 Tickled Pink, 0.13 oz.","$58.06","4.5 out of 5 stars","5,153"
"91","Lipstick","Revlon Ultra HD Metallic Matte Liquid Lipcolor, Liquid Lipstick, Glam","$45.86","4.4 out of 5 stars","219"
"92","Lipstick","Flortte Jelly Lipsticks First Kiss Love Nice to Meet Chu Heart Shape. Moisturizing lip glaze for a luscious pout","$48.90","4.5 out of 5 stars","6,917"
